CODE_UIC;LIBELLE;long;lat
0087576157;Loreux;1.8345356;47.3902731
0087576116;Mehun-sur-Yèvre;2.2071342;47.1394406
0087576082;La Ferté-Imbault;1.9580537;47.3835442
0087575704;Mignaloux - Nouaillé;0.4117391;46.5261427
0087575225;Chasseneuil-du-Poitou;0.3730275;46.6517702
0087575134;Ingrandes sur Vienne;0.5691164;46.8746283
0087575068;Maillé;0.5830236;47.0533855
0087574699;Notre-Dame-d'Oé;0.7070252;47.4595668
0087574640;Saint-Amand-Longpré;1.0119896;47.693141
0087574491;Chenonceaux;1.0661;47.330554
0087574319;Onzain - Chaumont-sur-Loire;1.18595;47.49200
0087574236;Suèvres;1.4540981;47.6802248
0087574160;Beaugency;1.625938;47.778365
0087571810;Saint-Patrice;0.3096916;47.2855394
0087571612;Druye;0.5354805;47.3070191
0087571539;Saint-Antoine-du-Rocher;0.6164676;47.503839
0087571422;Esvres sur Indre;0.7816519;47.2841016
0087571406;Montbazon;0.7214769;47.2917191
0087547315;Saint-Michel Notre-Dame;2.34545;48.85348
0087545756;Châteaudun;1.338133;48.073463
0087545467;Arpajon;2.24112;48.58617
0087545244;Juvisy-sur-Orge;2.38267;48.68917
0087545210;Sainte-Geneviève-des-Bois;2.313161;48.653245
0087545152;Chamarande;2.215854;48.514244
0087545145;Étréchy;2.194323;48.493727
0087543181;Boulainvilliers;2.275149;48.856450
0087543124;La Ferté-Saint-Aubin;1.932360;47.720975
0087543116;Saint-Cyr-en-Val La Source;1.9476045;47.8192
0087543074;Toury;1.939565;48.193606
0087543033;Cercottes;1.8849813;47.9861553
0087543017;Les Aubrais;1.906629;47.926801
0087491803;Royan;-1.016703;45.625886
0087491449;Cognac;-0.326112;45.684682
0087491357;Saint-Jean-d'Angély;-0.5097829;45.9407739
0087491266;Cubzac-les-Ponts;-0.4590937;44.9729407
0087491233;Aubie - Saint-Antoine;-0.4198843;45.0151419
0087491142;Jonzac;-0.44164;45.4387456
0087491043;Taillebourg;-0.6451123;45.8305696
0087487876;Les Rosiers-sur-Loire;-0.2205371;47.3625386
0087487843;La Bohalle;-0.4000426;47.4342356
0087485268;Prin-Deyrançon;-0.6365007;46.2190177
0087484386;Varades - Saint-Florent le Vieil;-1.019712;47.3744471
0087484352;Champtocé-sur-Loire;-0.8685747;47.4102457
0087484337;La Possonnière;-0.6917009;47.3713848
0087484329;Savennières - Béhuard;-0.6540004;47.3817332
0087484154;Étriché - Châteauneuf;-0.4608993;47.6567082
0087484006;Angers Saint-Laud;-0.556820;47.464647
0087481846;Pontchâteau;-2.088201;47.435399
0087481820;Cordemais;-1.8466771;47.3021502
0087481788;Le Croisic;-2.507442;47.289836
0087481705;Saint-Nazaire;-2.211096;47.286412
0087590828;Sucé-sur-Erdre;-1.5299873;47.3431347
0087481457;Cugand;-1.253301;47.0582602
0087481424;Le Pallet;-1.346898;47.143831
0087481416;La Haie-Fouassière;-1.392195;47.1615899
0087481408;Vertou;-1.4780052;47.1861428
0087481366;Machecoul;-1.8227524;46.9905038
0087481234;Saint-Hilaire-de-Chaléons;-1.8650604;47.1057704
0087481226;Sainte-Pazanne;-1.8138744;47.1055419
